id,label,Image Path,Last Seen Location,Missing Since,Mobile Number
Robert Downey Jr_87.jpg,Robert Downey Jr,/content/drive/MyDrive/dataset/Faces/Robert Downey Jr_87.jpg,Delhi,2020-08-24,9562056219
Lisa Kudrow_64.jpg,Lisa Kudrow,/content/drive/MyDrive/dataset/Faces/Lisa Kudrow_64.jpg,Chennai,2024-08-06,9094731736
Ellen Degeneres_34.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_34.jpg,Dubai,2021-03-28,9820694526
Billie Eilish_3.jpg,Billie Eilish,/content/drive/MyDrive/dataset/Faces/Billie Eilish_3.jpg,Paris,2023-06-20,9745954064
Hrithik Roshan_35.jpg,Hrithik Roshan,/content/drive/MyDrive/dataset/Faces/Hrithik Roshan_35.jpg,London,2021-05-22,9718166286
Vijay Deverakonda_39.jpg,Vijay Deverakonda,/content/drive/MyDrive/dataset/Faces/Vijay Deverakonda_39.jpg,Delhi,2022-01-25,9758942438
Tom Cruise_21.jpg,Tom Cruise,/content/drive/MyDrive/dataset/Faces/Tom Cruise_21.jpg,Chennai,2021-03-17,9955193606
Alia Bhatt_41.jpg,Alia Bhatt,/content/drive/MyDrive/dataset/Faces/Alia Bhatt_41.jpg,Hyderabad,2023-02-04,9694323154
Elizabeth Olsen_36.jpg,Elizabeth Olsen,/content/drive/MyDrive/dataset/Faces/Elizabeth Olsen_36.jpg,Hyderabad,2020-05-24,9473405171
Charlize Theron_29.jpg,Charlize Theron,/content/drive/MyDrive/dataset/Faces/Charlize Theron_29.jpg,Dubai,2024-06-22,9251730137
Natalie Portman_74.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_74.jpg,Toronto,2023-09-08,9847639878
Priyanka Chopra_6.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_6.jpg,Paris,2024-10-27,9495055223
Priyanka Chopra_73.jpg,Priyanka Chopra,/content/drive/MyDrive/dataset/Faces/Priyanka Chopra_73.jpg,Dubai,2024-12-05,9419471090
Natalie Portman_99.jpg,Natalie Portman,/content/drive/MyDrive/dataset/Faces/Natalie Portman_99.jpg,Hyderabad,2021-10-09,9318309354
Zac Efron_6.jpg,Zac Efron,/content/drive/MyDrive/dataset/Faces/Zac Efron_6.jpg,Mumbai,2021-05-29,9579036909
Marmik_5.jpg,Marmik,/content/drive/MyDrive/dataset/Faces/Marmik_5.jpg,Chennai,2024-10-15,9646494613
Camila Cabello_9.jpg,Camila Cabello,/content/drive/MyDrive/dataset/Faces/Camila Cabello_9.jpg,Hyderabad,2021-08-31,9540357621
Elizabeth Olsen_23.jpg,Elizabeth Olsen,/content/drive/MyDrive/dataset/Faces/Elizabeth Olsen_23.jpg,Chennai,2025-01-04,9856445402
Claire Holt_28.jpg,Claire Holt,/content/drive/MyDrive/dataset/Faces/Claire Holt_28.jpg,Hyderabad,2024-06-16,9723669092
Brad Pitt_85.jpg,Brad Pitt,/content/drive/MyDrive/dataset/Faces/Brad Pitt_85.jpg,Dubai,2025-03-12,9795007620
Ellen Degeneres_67.jpg,Ellen Degeneres,/content/drive/MyDrive/dataset/Faces/Ellen Degeneres_67.jpg,Mumbai,2024-11-24,9215648780
